input-0;0;0;30000
input-1;1;1;30000
input-2;60;1,2,3,4,5,6,10,12,15,20,30,60;30000
input-3;512;1,2,4,8,16,32,64,128,256,512;30000
input-4;360;1,2,3,4,5,6,8,9,10,12,15,18,20,24,30,36,40,45,60,72,90,120,180,360;30000
input-5;720;1,2,3,4,5,6,8,9,10,12,15,16,18,20,24,30,36,40,45,48,60,72,80,90,120,144,180,240,360,720;30000
input-6;840;1,2,3,4,5,6,7,8,10,12,14,15,20,21,24,28,30,35,40,42,56,60,70,84,105,120,140,168,210,280,420,840;30000
input-7;837;1,3,9,27,31,93,279,837;30000
input-8;899;1,29,31,899;30000
input-9;979;1,11,89,979;30000
input-10;997;1,997;30000
input-11;998;1,2,499,998;30000
input-12;996;1,2,3,4,6,12,83,166,249,332,498,996;30000
